2026-06-12 17:25:02 | INFO    | image_service:155 | 步骤 5 示意图已生成：step_5_4c566203.png
2026-06-12 17:25:02 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:02 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:02 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：laser_sensor_mount.step
2026-06-12 17:25:02 | INFO    | step_analysis_service:176 | 使用演示 ProductGraph（测试文件）
2026-06-12 17:25:02 | INFO    | process_generation_service:67 | 开始生成工艺流程，ProductGraph ID: cf44bc61-325c-4736-ba0b-ce839b9efc2a
2026-06-12 17:25:02 | INFO    | review_service:57 | 开始处理审核，工艺 ID: 6d7077d4-dc4a-4dbd-904f-0a3071584e65，决策数: 5
2026-06-12 17:25:02 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:02 | INFO    | image_service:155 | 步骤 1 示意图已生成：step_1_4b58b9d1.png
2026-06-12 17:25:02 | INFO    | image_service:155 | 步骤 2 示意图已生成：step_2_c07a4a51.png
2026-06-12 17:25:02 | INFO    | image_service:155 | 步骤 3 示意图已生成：step_3_5524cc7e.png
2026-06-12 17:25:02 | INFO    | image_service:155 | 步骤 4 示意图已生成：step_4_77300ad4.png
2026-06-12 17:25:02 | INFO    | image_service:155 | 步骤 5 示意图已生成：step_5_1df90bfc.png
2026-06-12 17:25:02 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:03 | INFO    | image_service:108 | 图片服务已初始化（基于真实几何数据生成）
2026-06-12 17:25:03 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：laser_sensor_mount.step
2026-06-12 17:25:03 | INFO    | step_analysis_service:176 | 使用演示 ProductGraph（测试文件）
2026-06-12 17:25:03 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：document.pdf
2026-06-12 17:25:03 | WARNING | step_analysis_service:141 | 文件格式无效：document.pdf
2026-06-12 17:25:03 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：noext
2026-06-12 17:25:03 | WARNING | step_analysis_service:141 | 文件格式无效：noext
2026-06-12 17:25:03 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：laser_sensor_mount.step
2026-06-12 17:25:03 | INFO    | step_analysis_service:176 | 使用演示 ProductGraph（测试文件）
2026-06-12 17:25:03 | INFO    | process_generation_service:67 | 开始生成工艺流程，ProductGraph ID: 8c883b81-8354-4f9c-b217-ac3ba5c45f56
2026-06-12 17:25:03 | INFO    | review_service:57 | 开始处理审核，工艺 ID: 080b46cf-a056-4013-884d-94b52ee0075a，决策数: 5
2026-06-12 17:25:03 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：laser_sensor_mount.step
2026-06-12 17:25:03 | INFO    | step_analysis_service:176 | 使用演示 ProductGraph（测试文件）
2026-06-12 17:25:03 | INFO    | process_generation_service:67 | 开始生成工艺流程，ProductGraph ID: a96b8f8f-a120-4695-9aa6-7c270bf955f5
2026-06-12 17:25:03 | INFO    | review_service:57 | 开始处理审核，工艺 ID: 4915dc05-fdf6-404c-a18d-a36cb11f80d7，决策数: 5
2026-06-12 17:25:03 | INFO    | step_analysis_service:137 | 开始解析 STEP 文件：laser_sensor_mount.step
